ID,Ville,Pays,Longitude,Latitude,Audio_URL,Transcription,Sexe,F1_Mean,F1_Amplitude,Avg_Temperature,Avg_Humidity,Temp_Extreme
14,'ôrôê,NCWF,165.495441,-21.566683,https://atlas.lisn.upsaclay.fr/sounds/oroe.mp3,"I töxâ rha nêxara, na kwâ-â bö a'rî du gwa ri-ru, rè tö na kwâ-â rè yè mê nyîmû rha dêkê. Dè böri dè bâ gwari-ru, du gwari-ru. Böri, i tö na… dibwiri na mwâ rha ö' a pwa. Böri dè ö'-rè, vi ö nè-ru, dè waa ö' nè-rèè. Böri dè ö né-ré raa êrê yè-è, dè kârâ rhee. Böri i tö na kwâ-â, böri a'ri, dö êrê mèè : - Ö yè pè kua na kârâ rhee-ni, rha ö'-ni, tè yè mwîâ! Böri i tö na kwâ, böri tè nè vè yuu, i kuu na kwâ-â. Na böri yi kuu na kwâ-â, na böri kuu na kwâ-â. Na böri  au-vé na kwâ-â na. Na böri tö na ö'-na, i kâ piri mwî-nya na kârâ rhee-ré. I kâ piri, i tâ görönéâ na, né mâ aa... da pè kwa raa na kwâ-â. Böri na évé na kwâ-â, böri vé raa-é. Böri i tö na, a'rî, i böri yu tè na a'rî, na böri yuu tèè na a'rî. Böri i tö na ö'-na, na mwâ mèè…nè pè kê, tèè mwéré tèè. Té è mwênyâ né é aree né-é, na böri pè kwa kârâ rhee né pè kê. Böri... ka rhééxara né raa-xe, i na mwê na kwâ-â mê i tö a'ri na-ré mwâ-nya. [Böröwi.]",Femme,499.735250109672,1053.768659621658,23.94513347022587,75.76115674195756,0
15,'weenhayek,Bolivia,-63.0270733344145,-21.3617439045,https://atlas.lisn.upsaclay.fr/sounds/weenhayek.mp3,"Tapiinhì wet 'Ijwaalà' taahuwethà'-péyej lhaamelh hàp laqhaajyhayahày, lhaamelh wet hi'weenhkye hi'nowukjwaj tà hip'ooyejtatape' la'wuy. Lhaamelh wet yohent'enke'we', 'o'eelhkyek t'ikyuunej kyek hi'nowukjwaj 'itiinhkya la'wuy wet haapkqhila kyek laqhaajyhayaj yaamhpe 'elh qhajyhayaj. Maanhyejt'en'tso'thayej wet tapiinhì wet lhayom t'iilhayejì'. Tha, hi'noowukjwaj wet y'ise lhiip tà lhaahip'onejlhi la'wuy pajtha tapiinhì hi'weenh tà laqaalhekneyahi wet 'ileeyej. Thayej wet 'ijwaalà' wet lhayom 'ààytaji tà lhaa'kyayoyen wet lham yaqaalhi hi'nowukjwaj 'wuy. Maanhyet'en'tso'tha tapiihì wet lhaam wet 'ileeyej tà yaqaakyuye 'ijwaalà' qhajyhayaàj.",Homme,683.5888638098886,1205.8348876614707,25.42831622176591,54.72532511978097,1
17,Aalst,Belgique,4.038736,50.938644,https://atlas.lisn.upsaclay.fr/sounds/Aalst.mp3,"De noorderwind en de zonne waren aan 't discuteren wie dat er de sterkste was van eersn tweeën. Just op diene moment, arriveerden ne reiziger die ne palto aanha. Ze kwampen overeen dat#n dien die der 't eerst zoun in lukken van diene reiziger zijne palto te doen uitdoen as de sterkste zou gezien werden. De noorderwind begost uit alle macht te blazen. Maar hoe nijger dat#n blaasden hoe nijger dat de reiziger zijne palto toetrok. Uiteindelijk gaf de noorderwind het op. Nadien begost de zonne neig te schijnen en ten dee de reiziger zijne palto uit. De noorderwind most dus wel toegeven da de zonne de sterkste was van eersn tweeën.",Femme,563.0262582341122,734.5365458597901,11.335845311430527,82.48269678302533,0
18,Abbeville,France,1.8333,50.1,https://atlas.lisn.upsaclay.fr/sounds/Abbeville.mp3,"Ch'vint et pi ch'solé is s'chipouilloai't, asseurès qu'is étoai't satchun d'éte pu fort éq l'eute, quante is ont apérchu un voéyageu qu'i rapreuchoait, ahotè din sin mantieu. Is ont tè d'avis qu'échti-lo qu'il sairoait foaire inlver sin mantieu à ch'voéyageu i dvaroait ch'fort du ju. Éd lo, ch'vint i s'a mis à souffler d'tous ses forches, mais pu qu'i souffloait pu qu'éch voéyageu i rsaroait sin mantieu à li. À tchuya, éch vint il o rnonchè. Ch'est aladon qu'éch solé il o cminchè à miler, pi au bout d'un tchot momint, ch'voéyageu qu'il étoait récauffè il o défoait sin mantieu. Il o meume tè s'bigner à tchu nu din l'ieu. Pour nin définir éch vint i s'a résou : ch'étoait bien ch'solé qu'il étoait ch'pu fort éd leu deux.",Homme,647.1913565018577,1583.5217723984083,11.17709787816564,84.11554414784393,0
19,Adelboden,Suisse,7.565472171418338,46.49008133167108,https://atlas.lisn.upsaclay.fr/sounds/CH_Nordwind_Adelboden.mp3,"Äsmaal hii d Bisa u d Suna zäme zangget, wär van ine bèède ächt di Schtèrcheri sygi. Due ischt ungsinet ä Wanderer derhaar z luuffe choe, ypackta ine warme Mantel. Di bèède syn due räätig worde, dass die als di Schtèrcheri gulti, wan der Wanderer wurdi zwinge, us sym Mantel z schlüüffe. D Bisa hèt jitz aafaa blaase, was si hèt möge, aber äs hèttera wääger nüt füürtriit: ds Mendi hèt der Mantel nume nug èngger zuegchnöpft. Entlig het d Bisa müessen ufgää. Jitz hèt d Suna mit irne früntlige Strahle d Luft gwèèrmt, u scho namene Schützi het der Wanderer sys Mänti abzoge. Da hèt d Bisa wohl ol übel müesse zuegää, dass d Suna di Schtèrcheri ischt.",Homme,767.0733653417462,1561.4988694174622,5.19488706365503,79.33000684462696,0
20,Adolphsdorf,Deutschland_OF,8.99303124831752,53.22648063621117,https://atlas.lisn.upsaclay.fr/sounds/Adolphsdorf.mp3,"Eenmol kabbeln sik de Noordwind un de Sunn, wör von beiden wohl de Kräftigere wöör, als en Wanderer, de en warmen Mantel anharr, de den Weg da herkööm. Sei wören sik enig dat dejenige, de de Kräftigere wöör, de den Wanderer zwingen soll den Mantel aftonehmen. De Noordwind puust mit alle Macht, aber je mehr he puust, desto kräftiger wickelde sik de Wanderer in se Mantel in. Nun geev de Noordwind den Kampf op. Nun schien die Sunn de Luft mit ihren freundlichen Strohlen, und dat duert nicht lang, da töög de Wanderer sien Mantel ut. Dor musst de Nordwind togeben, da de Sunn von beiden die Kräftigere wöör.",Femme,626.7073404023682,1260.6375404548862,10.297898699520875,83.78291581108829,0
22,Agethorst,Deutschland_SH,9.43333339691162,54.01666641235352,https://atlas.lisn.upsaclay.fr/sounds/Agethorst.mp3,"Do eenst streiten sik Noordwind un Sünn, wokeen von de beiden woll de Starkere weer. As do een Wannersmann, de in een warm Mantel inmummelt weer, den Weg hinlang keem. Se wurrn sik eing, dat dejenige as de Starkere gellen schull, de den Wannersmann dorto bringen wörr sien Mantel aftoleggen. De Noordwind bloos mit all sien Kruusch, aber je mehr he bloos ümso faster mummelt de Wannersmann sik in sien Mantel in. Opletzt geev de Noordwind den Wettstriet denn op. Nun warmst de Sünn de Luft mit ehre gleien Strohlen un schon 'n korten Stoot Tiet trock de Wannersmann sien Mantel ut. Do muss de Noordwind togeben, dat de Sünn von de beid de Starkere weer.",Femme,642.1438832673708,1371.2041051466533,9.9439151266256,85.03110882956878,0
23,Agonac,France,0.749844,45.292636,https://atlas.lisn.upsaclay.fr/sounds/Agonac.mp3,"Lo vent dau nòrd e lo solelh se disputaven. Chascun disiá qu'era lo mai fòrt. Quant vegueren un voiatjaire que s'avançava, emmantelat, sigueren d'acòrd per dire que lo prumier que 'ribará de lo li far dostar siriá considerat coma lo mai fòrt. Alòrs, lo vent dau nòrd se metet de bufar de tot son vam. Mas dau mai bufava, dau mai lo voiatjaire sarrava son manteu contra se. E fin finala, renonciet de lo li far dostar. Alòrs, lo solelh se metet de lusir. Au bot d'un moment, lo voiatjaire, plan eschaurat, dostet son manteu. Quò es entau que lo vent dau nòrd deguet reconéisser que lo solelh era lo mai fòrt.",Femme,690.2097780967125,1404.8857479843653,13.504209445585216,75.91318275154005,0
24,Agonac,Occitanie,0.749844,45.292636,https://atlas.lisn.upsaclay.fr/sounds/Agonac.mp3,"Lo vent dau nòrd e lo solelh se disputaven. Chascun disiá qu'era lo mai fòrt. Quant vegueren un voiatjaire que s'avançava, emmantelat, sigueren d'acòrd per dire que lo prumier que 'ribará de lo li far dostar siriá considerat coma lo mai fòrt. Alòrs, lo vent dau nòrd se metet de bufar de tot son vam. Mas dau mai bufava, dau mai lo voiatjaire sarrava son manteu contra se. E fin finala, renonciet de lo li far dostar. Alòrs, lo solelh se metet de lusir. Au bot d'un moment, lo voiatjaire, plan eschaurat, dostet son manteu. Quò es entau que lo vent dau nòrd deguet reconéisser que lo solelh era lo mai fòrt.",Femme,690.2097780967125,1404.8857479843653,13.504209445585216,75.91318275154005,0
25,Agrons,Italia,12.864066,46.472073,https://atlas.lisn.upsaclay.fr/sounds/Agrons.mp3,"Una dì la Tramontana e il Sorêli a cavilavin parcè ch'a volevin savê cui ch'al era il plui fuart. Intant ch'a cavilavin, a àn viodût un omp ch'al cjaminava pa strada e ch'al veva une mantielina dintor. Alora a àn decidût che cui ch'al rivava a fâi gjavâ la mantielina al ere il plui fuart dai doi. La Tramontana a à tacât a soflâ fuart, ma plui a soflava, plui chel omp si strenzeva ben dintor la mantielina. Sta di fat che a la fin la Tramontana a à scuignût molâ. Alora il Sorêli al è saltât four dai nûi, al à tacât a scjaldâ e dopo un pôc chel omp al à tacât a sudâ e al à gjavât la mantielina. A è stada cussì che la Tramontana a à scuignût ameti che il Sorêli al era plui fuart di jê.",Femme,765.3864962576946,1395.3332543727934,7.728761122518822,79.70069130732375,0
